Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:0	 iter:1999/2000	 gpts loss:0.492	 depth loss:0.014	quat loss:0.434	 joint loss:0.087	 total loss:1.027	 TP:457	 FP:1004	TN:553	 FN:32	 acc:0.494	 p:0.312	r:0.935	 F1:0.227	 depth acc:0.391	 quat acc:0.127
epoch:1	 iter:1999/2000	 gpts loss:0.397	 depth loss:0.000	quat loss:0.246	 joint loss:0.033	 total loss:0.677	 TP:466	 FP:824	TN:734	 FN:22	 acc:0.586	 p:0.357	r:0.932	 F1:0.253	 depth acc:0.977	 quat acc:0.206
epoch:2	 iter:1999/2000	 gpts loss:0.388	 depth loss:0.000	quat loss:0.205	 joint loss:0.033	 total loss:0.626	 TP:468	 FP:817	TN:740	 FN:21	 acc:0.590	 p:0.362	r:0.936	 F1:0.257	 depth acc:0.984	 quat acc:0.235
epoch:3	 iter:1999/2000	 gpts loss:0.386	 depth loss:0.000	quat loss:0.178	 joint loss:0.032	 total loss:0.596	 TP:469	 FP:813	TN:744	 FN:20	 acc:0.593	 p:0.363	r:0.936	 F1:0.257	 depth acc:0.991	 quat acc:0.252
epoch:4	 iter:1999/2000	 gpts loss:0.383	 depth loss:0.000	quat loss:0.161	 joint loss:0.032	 total loss:0.576	 TP:469	 FP:809	TN:748	 FN:20	 acc:0.595	 p:0.365	r:0.937	 F1:0.258	 depth acc:0.996	 quat acc:0.262
epoch:5	 iter:1999/2000	 gpts loss:0.381	 depth loss:0.000	quat loss:0.149	 joint loss:0.032	 total loss:0.562	 TP:469	 FP:809	TN:748	 FN:20	 acc:0.595	 p:0.365	r:0.938	 F1:0.258	 depth acc:0.997	 quat acc:0.270
epoch:6	 iter:1999/2000	 gpts loss:0.380	 depth loss:0.000	quat loss:0.142	 joint loss:0.032	 total loss:0.555	 TP:469	 FP:808	TN:749	 FN:20	 acc:0.595	 p:0.365	r:0.940	 F1:0.259	 depth acc:0.998	 quat acc:0.275
epoch:7	 iter:1999/2000	 gpts loss:0.380	 depth loss:0.000	quat loss:0.134	 joint loss:0.032	 total loss:0.546	 TP:470	 FP:805	TN:752	 FN:20	 acc:0.597	 p:0.366	r:0.940	 F1:0.259	 depth acc:0.998	 quat acc:0.281
epoch:8	 iter:1999/2000	 gpts loss:0.378	 depth loss:0.000	quat loss:0.128	 joint loss:0.032	 total loss:0.538	 TP:470	 FP:806	TN:751	 FN:19	 acc:0.596	 p:0.366	r:0.941	 F1:0.259	 depth acc:0.998	 quat acc:0.284
epoch:9	 iter:1999/2000	 gpts loss:0.377	 depth loss:0.000	quat loss:0.123	 joint loss:0.032	 total loss:0.533	 TP:470	 FP:806	TN:751	 FN:19	 acc:0.597	 p:0.366	r:0.941	 F1:0.259	 depth acc:0.998	 quat acc:0.288
epoch:10	 iter:1999/2000	 gpts loss:0.377	 depth loss:0.000	quat loss:0.119	 joint loss:0.032	 total loss:0.528	 TP:470	 FP:804	TN:754	 FN:19	 acc:0.598	 p:0.367	r:0.943	 F1:0.260	 depth acc:0.998	 quat acc:0.292
epoch:11	 iter:1999/2000	 gpts loss:0.376	 depth loss:0.000	quat loss:0.113	 joint loss:0.032	 total loss:0.521	 TP:470	 FP:803	TN:754	 FN:19	 acc:0.598	 p:0.367	r:0.943	 F1:0.260	 depth acc:0.999	 quat acc:0.295
epoch:12	 iter:1999/2000	 gpts loss:0.375	 depth loss:0.000	quat loss:0.111	 joint loss:0.032	 total loss:0.518	 TP:470	 FP:802	TN:755	 FN:19	 acc:0.599	 p:0.367	r:0.943	 F1:0.260	 depth acc:0.998	 quat acc:0.297
epoch:13	 iter:1999/2000	 gpts loss:0.373	 depth loss:0.000	quat loss:0.108	 joint loss:0.032	 total loss:0.514	 TP:470	 FP:801	TN:756	 FN:19	 acc:0.599	 p:0.369	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.299
epoch:14	 iter:1999/2000	 gpts loss:0.374	 depth loss:0.000	quat loss:0.104	 joint loss:0.032	 total loss:0.510	 TP:471	 FP:800	TN:757	 FN:19	 acc:0.600	 p:0.368	r:0.944	 F1:0.260	 depth acc:0.998	 quat acc:0.303
epoch:15	 iter:1999/2000	 gpts loss:0.374	 depth loss:0.000	quat loss:0.101	 joint loss:0.032	 total loss:0.506	 TP:471	 FP:804	TN:753	 FN:18	 acc:0.598	 p:0.367	r:0.945	 F1:0.260	 depth acc:0.998	 quat acc:0.305
epoch:16	 iter:1999/2000	 gpts loss:0.373	 depth loss:0.000	quat loss:0.098	 joint loss:0.032	 total loss:0.502	 TP:471	 FP:802	TN:755	 FN:18	 acc:0.599	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.307
epoch:17	 iter:1999/2000	 gpts loss:0.373	 depth loss:0.000	quat loss:0.098	 joint loss:0.031	 total loss:0.502	 TP:471	 FP:800	TN:756	 FN:18	 acc:0.600	 p:0.369	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.307
epoch:18	 iter:1999/2000	 gpts loss:0.372	 depth loss:0.000	quat loss:0.095	 joint loss:0.031	 total loss:0.499	 TP:470	 FP:801	TN:757	 FN:18	 acc:0.600	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.310
epoch:19	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.092	 joint loss:0.031	 total loss:0.495	 TP:471	 FP:802	TN:755	 FN:18	 acc:0.599	 p:0.368	r:0.945	 F1:0.261	 depth acc:0.998	 quat acc:0.313
epoch:20	 iter:1999/2000	 gpts loss:0.372	 depth loss:0.000	quat loss:0.089	 joint loss:0.031	 total loss:0.493	 TP:471	 FP:799	TN:758	 FN:18	 acc:0.600	 p:0.369	r:0.946	 F1:0.261	 depth acc:0.998	 quat acc:0.313
epoch:21	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.090	 joint loss:0.031	 total loss:0.492	 TP:471	 FP:799	TN:757	 FN:18	 acc:0.600	 p:0.369	r:0.946	 F1:0.261	 depth acc:0.998	 quat acc:0.314
epoch:22	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.088	 joint loss:0.031	 total loss:0.490	 TP:471	 FP:800	TN:758	 FN:18	 acc:0.600	 p:0.370	r:0.947	 F1:0.261	 depth acc:0.998	 quat acc:0.315
epoch:23	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.085	 joint loss:0.031	 total loss:0.487	 TP:472	 FP:801	TN:756	 FN:18	 acc:0.600	 p:0.368	r:0.948	 F1:0.261	 depth acc:0.998	 quat acc:0.318
epoch:24	 iter:1999/2000	 gpts loss:0.370	 depth loss:0.000	quat loss:0.082	 joint loss:0.031	 total loss:0.484	 TP:472	 FP:801	TN:756	 FN:17	 acc:0.600	 p:0.368	r:0.947	 F1:0.261	 depth acc:0.998	 quat acc:0.320
epoch:25	 iter:1999/2000	 gpts loss:0.370	 depth loss:0.000	quat loss:0.083	 joint loss:0.031	 total loss:0.485	 TP:471	 FP:802	TN:755	 FN:17	 acc:0.599	 p:0.367	r:0.947	 F1:0.260	 depth acc:0.998	 quat acc:0.321
epoch:26	 iter:1999/2000	 gpts loss:0.371	 depth loss:0.000	quat loss:0.079	 joint loss:0.031	 total loss:0.481	 TP:472	 FP:802	TN:755	 FN:17	 acc:0.600	 p:0.368	r:0.947	 F1:0.260	 depth acc:0.998	 quat acc:0.322
epoch:27	 iter:1999/2000	 gpts loss:0.370	 depth loss:0.000	quat loss:0.079	 joint loss:0.031	 total loss:0.480	 TP:471	 FP:801	TN:756	 FN:17	 acc:0.600	 p:0.369	r:0.947	 F1:0.261	 depth acc:0.998	 quat acc:0.324
epoch:28	 iter:1999/2000	 gpts loss:0.369	 depth loss:0.000	quat loss:0.077	 joint loss:0.031	 total loss:0.478	 TP:472	 FP:801	TN:757	 FN:17	 acc:0.600	 p:0.368	r:0.947	 F1:0.261	 depth acc:0.998	 quat acc:0.324
epoch:29	 iter:1999/2000	 gpts loss:0.369	 depth loss:0.000	quat loss:0.076	 joint loss:0.031	 total loss:0.476	 TP:472	 FP:801	TN:756	 FN:17	 acc:0.600	 p:0.369	r:0.949	 F1:0.262	 depth acc:0.999	 quat acc:0.325
epoch:30	 iter:1999/2000	 gpts loss:0.368	 depth loss:0.000	quat loss:0.076	 joint loss:0.031	 total loss:0.475	 TP:472	 FP:801	TN:756	 FN:17	 acc:0.600	 p:0.370	r:0.950	 F1:0.262	 depth acc:0.999	 quat acc:0.326
