Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:22	 iter:1999/2000	 gpts loss:0.366	 depth loss:0.000	quat loss:0.036	 joint loss:0.031	 total loss:0.434	 TP:473	 FP:798	TN:759	 FN:16	 acc:0.602	 p:0.369	r:0.950	 F1:0.261	 depth acc:0.999	 quat acc:0.353
epoch:23	 iter:1999/2000	 gpts loss:0.365	 depth loss:0.000	quat loss:0.033	 joint loss:0.031	 total loss:0.429	 TP:473	 FP:800	TN:757	 FN:16	 acc:0.601	 p:0.369	r:0.951	 F1:0.262	 depth acc:0.999	 quat acc:0.355
epoch:24	 iter:1999/2000	 gpts loss:0.365	 depth loss:0.000	quat loss:0.032	 joint loss:0.031	 total loss:0.429	 TP:473	 FP:800	TN:757	 FN:16	 acc:0.601	 p:0.370	r:0.952	 F1:0.262	 depth acc:0.999	 quat acc:0.356
epoch:25	 iter:1999/2000	 gpts loss:0.364	 depth loss:0.000	quat loss:0.030	 joint loss:0.031	 total loss:0.425	 TP:473	 FP:800	TN:757	 FN:16	 acc:0.601	 p:0.370	r:0.953	 F1:0.263	 depth acc:0.999	 quat acc:0.358
epoch:26	 iter:1999/2000	 gpts loss:0.364	 depth loss:0.000	quat loss:0.027	 joint loss:0.031	 total loss:0.423	 TP:473	 FP:800	TN:758	 FN:16	 acc:0.601	 p:0.369	r:0.952	 F1:0.262	 depth acc:0.999	 quat acc:0.360
epoch:27	 iter:1999/2000	 gpts loss:0.364	 depth loss:0.000	quat loss:0.026	 joint loss:0.031	 total loss:0.422	 TP:473	 FP:800	TN:758	 FN:16	 acc:0.601	 p:0.369	r:0.952	 F1:0.262	 depth acc:0.999	 quat acc:0.361
epoch:28	 iter:1999/2000	 gpts loss:0.363	 depth loss:0.000	quat loss:0.023	 joint loss:0.031	 total loss:0.418	 TP:473	 FP:800	TN:758	 FN:16	 acc:0.601	 p:0.370	r:0.953	 F1:0.262	 depth acc:0.999	 quat acc:0.364
epoch:29	 iter:1999/2000	 gpts loss:0.363	 depth loss:0.000	quat loss:0.023	 joint loss:0.031	 total loss:0.417	 TP:473	 FP:799	TN:758	 FN:16	 acc:0.602	 p:0.370	r:0.952	 F1:0.262	 depth acc:0.999	 quat acc:0.363
epoch:30	 iter:1999/2000	 gpts loss:0.363	 depth loss:0.000	quat loss:0.021	 joint loss:0.031	 total loss:0.415	 TP:473	 FP:801	TN:757	 FN:15	 acc:0.601	 p:0.369	r:0.953	 F1:0.262	 depth acc:0.999	 quat acc:0.365
epoch:31	 iter:1999/2000	 gpts loss:0.363	 depth loss:0.000	quat loss:0.019	 joint loss:0.031	 total loss:0.413	 TP:473	 FP:799	TN:758	 FN:16	 acc:0.602	 p:0.371	r:0.953	 F1:0.263	 depth acc:0.999	 quat acc:0.367
epoch:32	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.016	 joint loss:0.031	 total loss:0.409	 TP:473	 FP:800	TN:758	 FN:15	 acc:0.602	 p:0.372	r:0.954	 F1:0.263	 depth acc:0.999	 quat acc:0.369
epoch:33	 iter:1999/2000	 gpts loss:0.362	 depth loss:0.000	quat loss:0.016	 joint loss:0.031	 total loss:0.409	 TP:474	 FP:802	TN:755	 FN:15	 acc:0.601	 p:0.370	r:0.954	 F1:0.262	 depth acc:0.999	 quat acc:0.368
